Date,Price,Open,High,Low,Change %
3-Jan-00,3.4247,3.4247,3.4403,3.4198,0.12%
4-Jan-00,3.4269,3.4194,3.4379,3.4174,0.06%
5-Jan-00,3.4247,3.4373,3.4403,3.4247,-0.06%
6-Jan-00,3.4269,3.4215,3.4269,3.4184,0.06%
7-Jan-00,3.426,3.426,3.426,3.426,-0.03%
10-Jan-00,3.4262,3.4232,3.4392,3.4197,0.01%
11-Jan-00,3.4269,3.4224,3.4379,3.4131,0.02%
12-Jan-00,3.4219,3.428,3.4435,3.4219,-0.15%
13-Jan-00,3.4269,3.4224,3.4379,3.4101,0.15%
14-Jan-00,3.4269,3.4269,3.4269,3.4269,0.00%
17-Jan-00,3.4269,3.4154,3.4349,3.4154,0.00%
18-Jan-00,3.4269,3.4292,3.4325,3.4184,0.00%
19-Jan-00,3.4295,3.4383,3.4465,3.4212,0.08%
20-Jan-00,3.4247,3.4207,3.4373,3.4087,-0.14%
21-Jan-00,3.4247,3.4247,3.4247,3.4247,0.00%
24-Jan-00,3.4247,3.4468,3.4468,3.4207,0.00%
25-Jan-00,3.4247,3.4247,3.4373,3.4247,0.00%
26-Jan-00,3.4269,3.4249,3.4354,3.4101,0.06%
27-Jan-00,3.4269,3.4194,3.4375,3.4101,0.00%
28-Jan-00,3.4269,3.4269,3.4269,3.4269,0.00%
31-Jan-00,3.4247,3.4367,3.4373,3.4247,-0.06%
1-Feb-00,3.451,3.43,3.453,3.43,0.77%
2-Feb-00,3.4505,3.4455,3.453,3.4405,-0.01%
3-Feb-00,3.45,3.44,3.462,3.4225,-0.01%
4-Feb-00,3.45,3.45,3.45,3.45,0.00%
7-Feb-00,3.426,3.434,3.4369,3.42,-0.70%
8-Feb-00,3.451,3.45,3.4525,3.4277,0.73%
9-Feb-00,3.45,3.439,3.462,3.436,-0.03%
10-Feb-00,3.4222,3.4272,3.4347,3.4222,-0.81%
11-Feb-00,3.4505,3.4505,3.4505,3.4505,0.83%
14-Feb-00,3.4247,3.4358,3.4373,3.4247,-0.75%
15-Feb-00,3.4247,3.4297,3.4373,3.4125,0.00%
16-Feb-00,3.4247,3.4293,3.4398,3.4247,0.00%
17-Feb-00,3.4505,3.4455,3.4645,3.4405,0.75%
18-Feb-00,3.45,3.45,3.45,3.45,-0.01%
21-Feb-00,3.431,3.4265,3.443,3.4117,-0.55%
22-Feb-00,3.4247,3.4303,3.4428,3.4125,-0.18%
23-Feb-00,3.4247,3.4247,3.4428,3.4148,0.00%
24-Feb-00,3.4247,3.4278,3.4428,3.4247,0.00%
25-Feb-00,3.45,3.45,3.47,3.45,0.74%
28-Feb-00,3.445,3.43,3.49,3.43,-0.14%
29-Feb-00,3.427,3.4275,3.4725,3.4225,-0.52%
1-Mar-00,3.44,3.445,3.49,3.43,0.38%
2-Mar-00,3.427,3.4273,3.4385,3.4102,-0.38%
